TRINITY_DN36091_c0_g1_i1,TRINITY_DN36091_c0_g1
TRINITY_DN36080_c0_g1_i1,TRINITY_DN36080_c0_g1
TRINITY_DN36101_c0_g1_i1,TRINITY_DN36101_c0_g1
TRINITY_DN36081_c0_g1_i1,TRINITY_DN36081_c0_g1
TRINITY_DN36065_c0_g1_i1,TRINITY_DN36065_c0_g1
TRINITY_DN36028_c0_g1_i1,TRINITY_DN36028_c0_g1
TRINITY_DN36055_c0_g1_i1,TRINITY_DN36055_c0_g1
TRINITY_DN36104_c0_g1_i1,TRINITY_DN36104_c0_g1
TRINITY_DN36033_c0_g1_i1,TRINITY_DN36033_c0_g1
TRINITY_DN36033_c0_g1_i2,TRINITY_DN36033_c0_g1
TRINITY_DN36095_c0_g1_i1,TRINITY_DN36095_c0_g1
TRINITY_DN36076_c0_g1_i1,TRINITY_DN36076_c0_g1
TRINITY_DN36072_c0_g1_i1,TRINITY_DN36072_c0_g1
TRINITY_DN36085_c0_g1_i1,TRINITY_DN36085_c0_g1
TRINITY_DN36090_c0_g1_i1,TRINITY_DN36090_c0_g1
TRINITY_DN36019_c0_g1_i1,TRINITY_DN36019_c0_g1
TRINITY_DN36022_c0_g1_i1,TRINITY_DN36022_c0_g1
TRINITY_DN36050_c0_g1_i1,TRINITY_DN36050_c0_g1
TRINITY_DN36067_c0_g1_i1,TRINITY_DN36067_c0_g1
TRINITY_DN36044_c0_g1_i1,TRINITY_DN36044_c0_g1
TRINITY_DN36039_c0_g1_i1,TRINITY_DN36039_c0_g1
TRINITY_DN36070_c0_g1_i1,TRINITY_DN36070_c0_g1
TRINITY_DN36106_c0_g1_i1,TRINITY_DN36106_c0_g1
TRINITY_DN36062_c0_g1_i1,TRINITY_DN36062_c0_g1
TRINITY_DN36017_c0_g1_i1,TRINITY_DN36017_c0_g1
TRINITY_DN36045_c0_g1_i1,TRINITY_DN36045_c0_g1
TRINITY_DN36064_c0_g1_i1,TRINITY_DN36064_c0_g1
TRINITY_DN36032_c0_g1_i1,TRINITY_DN36032_c0_g1
TRINITY_DN36032_c0_g1_i2,TRINITY_DN36032_c0_g1
TRINITY_DN36082_c0_g1_i1,TRINITY_DN36082_c0_g1
TRINITY_DN36013_c0_g1_i1,TRINITY_DN36013_c0_g1
TRINITY_DN36099_c0_g1_i1,TRINITY_DN36099_c0_g1
